sim_time, my_bot/altitude_joint?0/velocity
429.886, -1.13834e-16
429.887, 7.5995e-18
429.888, 1.09896e-16
429.889, 3.83784e-18
429.89, -6.52864e-20
429.891, 1.13754e-16
429.892, -1.13964e-16
429.893, -1.2188e-16
429.894, 1.13775e-16
429.895, 4.00911e-18
429.896, -1.13979e-16
429.897, -1.09879e-16
429.898, 1.05599e-16
429.899, -2.23757e-16
429.9, -2.23768e-16
429.901, -9.07689e-20
429.902, -1.14031e-16
429.903, -9.56958e-20
429.904, 4.19087e-18
429.905, -6.35693e-20
429.906, -1.29656e-20
429.907, -1.14103e-16
429.908, 4.2979e-18
429.909, -1.14124e-16
429.91, 1.13932e-16
429.911, -8.55827e-20
429.912, -1.14119e-16
429.913, -3.47327e-20
429.914, 4.52696e-18
429.915, 1.04866e-16
429.916, 1.14046e-16
429.917, -2.18941e-16
429.918, -1.14216e-16
429.919, -2.28369e-16
429.92, 1.09288e-16
429.921, 2.28217e-16
429.922, 4.67651e-18
429.923, -9.74776e-18
429.924, -4.90195e-18
429.925, -1.1421e-16
429.926, -1.09384e-16
429.927, 1.14149e-16
429.928, -1.0937e-16
429.929, 1.09097e-16
429.93, 1.14131e-16
429.931, -1.14263e-16
429.932, 4.99662e-18
429.933, -2.234e-16
429.934, -5.51254e-20
429.935, -2.18287e-16
429.936, -1.19463e-16
429.937, 5.0695e-18
429.938, -5.33256e-18
429.939, 2.18044e-16
429.94, 1.14247e-16
429.941, 5.2332e-18
429.942, -5.29408e-18
429.943, -1.09022e-16
429.944, -1.08966e-16
429.945, -1.09386e-17
429.946, -1.08934e-16
429.947, -7.20548e-20
429.948, 5.44201e-18
429.949, 1.18545e-20
429.95, -1.14415e-16
